100 MILE HOUSE, BC = 51.643970 -121.295010
BLUE RIVER, BC = 52.106465 -119.304881
BLUE SEA, QC = 46.184192 -76.062895
BLUEBERRY MOUNTAIN, AB = 55.933333 -119.150000
BLUESKY, AB = 56.074630 -118.240645
BLUEVALE, ON = 43.856243 -81.249489
BLUFFTON, AB = 52.749005 -114.290479
BLUMENHOF, SK = 50.018725 -107.702339
BLUMENORT, MB = 49.607909 -96.693453
BLYTH, ON = 43.736449 -81.429409
BLYTHESWOOD, ON = 42.122415 -82.595007
BOAT HARBOUR WEST, NL = 47.430000 -54.841667
BOBCAYGEON, ON = 44.540457 -78.546369
BOCABEC, NB = 45.178368 -66.989058
BODO, AB = 52.151921 -110.093234
BOGGY CREEK, MB = 51.536194 -101.353455
BOGNOR, ON = 44.525515 -80.744522
BOIESTOWN, NB = 46.455726 -66.419682
BOILEAU, QC = 45.902165 -74.791015
BOIS-BLANC, NB = 47.618878 -65.079083
BOIS-DES-FILION, QC = 45.666742 -73.756702
BOIS-FRANC, QC = 46.521803 -75.946842
BOIS-GAGNON, NB = 47.525836 -65.170891
BOISBRIAND, QC = 45.612634 -73.838373
BOISCHATEL, QC = 46.896612 -71.135413
BOISDALE, NS = 46.097766 -60.505490
BOISSEVAIN, MB = 49.230437 -100.059504
BOLSOVER, ON = 44.530017 -79.061355
BOLTON, ON = 43.874200 -79.730660
BOLTON-EST, QC = 45.195708 -72.363775
BOLTON-OUEST, QC = 45.243503 -72.454758
BON ACCORD, AB = 53.837260 -113.412126
BON ACCORD, NB = 46.653098 -67.581378
BON-CONSEIL, QC = 46.003241 -72.340509
BONANZA, AB = 55.912570 -119.827345
BONAVENTURE, QC = 48.071434 -65.452895
BONAVISTA, NL = 48.653345 -53.111825
BOND HEAD, ON = 44.089779 -79.676111
BONFIELD, ON = 46.230977 -79.146953
BONNE BAY POND, NL = 49.352129 -57.543856
BONNE BAY, NL = 49.504340 -57.917325
BONNY RIVER, NB = 45.202086 -66.857558
BONNYVILLE, AB = 54.268177 -110.720037
BONSECOURS, QC = 45.414430 -72.278904
BONSHAW, PE = 46.195780 -63.354269
BOOM ROAD, NB = 46.955118 -65.776359
BORDEN, ON = 44.283023 -79.894364
BORDEN, SK = 52.405045 -107.239656
BORDEN-CARLETON, PE = 46.253763 -63.692162
BORNHOLM, ON = 43.531537 -81.144537
BOSTON BAR, BC = 49.863426 -121.442574
BOSWELL, BC = 49.453918 -116.762954
BOTHA, AB = 52.306740 -112.523050
BOTHWELL, ON = 42.631357 -81.872451
BOTWOOD, NL = 49.142298 -55.344085
BOUCHERVILLE, QC = 45.591370 -73.436410
BOUCHETTE, QC = 46.202502 -75.897091
BOUCTOUCHE COVE, NB = 46.472276 -64.724265
BOUCTOUCHE RESERVE, NB = 46.452140 -64.759415
BOUCTOUCHE SUD, NB = 46.444390 -64.684331
BOUCTOUCHE, NB = 46.472276 -64.724265
BOUDREAU-OUEST, NB = 46.235249 -64.492053
BOULANGER, QC = 45.939278 -71.990080
BOULARDERIE CENTER, NS = 46.200000 -60.500000
BOULARDERIE EAST, NS = 46.250000 -60.450000
BOULTER, ON = 45.214330 -77.637546
BOUNDARY CREEK, NB = 46.050000 -65.000000
BOURGET, ON = 45.435051 -75.158156
BOUTILIERS POINT, NS = 44.659799 -63.952717
BOW ISLAND, AB = 49.869621 -111.377099
BOWDEN, AB = 51.933087 -114.032226
BOWEN ISLAND, BC = 49.376765 -123.370154
BOWMAN, QC = 45.903167 -75.683391
BOWMANVILLE, ON = 43.912604 -78.688019
BOWSER, BC = 49.438991 -124.683518
BOWSMAN, MB = 52.237116 -101.208511
BOYDS COVE, NL = 49.444054 -54.658504
BOYLE, AB = 54.587260 -112.803797
BOYLSTON, NS = 45.439605 -61.494173
BOYNE LAKE, AB = 54.233333 -111.683333
BRACEBRIDGE, ON = 45.038956 -79.307879
BRACKEN, SK = 49.178229 -108.094743
BRACKENDALE, BC = 49.766014 -123.149128
BRADFORD, ON = 44.110986 -79.579427
BRADOR, QC = 45.540346 -73.656863
BRADWARDINE, MB = 49.995737 -100.463332
BRADWELL, SK = 51.947268 -106.233163
BRAESIDE, ON = 45.465818 -76.406965
BRAGG CREEK, AB = 50.951740 -114.569234
BRAMPTON, ON = 43.731548 -79.762418
BRANCH LAHAVE, NS = 44.448803 -64.631596
BRANCH, NL = 46.882222 -53.953012
BRANCHTON, ON = 43.310888 -80.259288
BRANDON, MB = 49.848471 -99.950090
BRANT, AB = 50.516624 -113.510291
BRANTFORD, ON = 43.139387 -80.264425
BRANTVILLE, NB = 47.370001 -64.970366
BRAS D'OR, NS = 45.860971 -60.803393
BREADALBANE, NB = 45.126393 -66.855817
BREADALBANE, PE = 46.357675 -63.500945
BREBEUF, QC = 45.501046 -73.623117
BRECHIN, ON = 44.545002 -79.175644
BREDENBURY, SK = 50.938058 -102.052565
BRENTS COVE, NL = 49.936721 -55.710790
BRENTWOOD BAY, BC = 48.572437 -123.451757
BRENTWOOD, NS = 45.215159 -63.273045
BRESLAU, ON = 43.469173 -80.409416
BRETON, AB = 53.109990 -114.471395
BREWERS MILL, NB = 46.072223 -67.009697
BREYNAT, AB = 55.140908 -112.493451
BRIDESVILLE, BC = 49.037014 -119.152152
BRIDGE LAKE, BC = 51.481605 -120.729613
BRIDGENORTH, ON = 44.387785 -78.382451
BRIDGEPORT, NL = 49.551196 -54.874668
BRIDGETOWN, NS = 44.841836 -65.288351
BRIDGEWATER, NS = 44.372117 -64.520880
BRIERCREST, SK = 50.456500 -105.815324
BRIGDEN, ON = 42.814509 -82.281787
BRIGGS CORNER QUEENS CO, NB = 46.218314 -65.899106
BRIGHAM, QC = 45.254625 -72.800918
BRIGHT SAND, SK = 53.686052 -108.929948
BRIGHT, ON = 45.482994 -73.710755
BRIGHT'S GROVE, ON = 43.033599 -82.252460
BRIGHTON, NL = 49.548527 -55.639883
BRIGHTON, ON = 44.042260 -77.736883
BRIGUS JUNCTION, NL = 47.388181 -53.300974
BRIGUS, NL = 47.533266 -53.220579
BRINSTON, ON = 44.939602 -75.359944
BRISCO, BC = 50.826998 -116.269968
BRISTOL JUNCTION, NB = 46.442638 -67.564825
BRISTOL, QC = 45.531130 -76.458017
BRITANNIA BEACH, BC = 49.623818 -123.205511
BRITISH SETTLEMENT, NB = 45.866667 -64.400000
BRITT, ON = 45.774835 -80.556459
BROAD COVE BDV, NL = 47.551682 -53.553674
BROAD VALLEY, MB = 50.984941 -97.650781
BROADVIEW, SK = 50.378062 -102.579067
BROCHET, MB = 57.880769 -101.670225
BROCK, SK = 51.441307 -108.718126
BROCKET, AB = 49.551746 -113.750930
BROCKINGTON, SK = 53.103706 -104.708899
BROCKVILLE, ON = 44.589524 -75.684286
BROCKWAY, NB = 45.521385 -67.115984
BRODERICK, SK = 51.489114 -106.917812
BRODHAGEN, ON = 43.560182 -81.210181
BROME, QC = 45.194051 -72.571504
BROMHEAD, SK = 49.179681 -103.676338
BROMONT, QC = 45.285248 -72.687242
BRONSON SETTLEMENT, NB = 46.221600 -65.723394
BROOKDALE, MB = 50.047808 -99.567729
BROOKFIELD, NL = 49.140819 -53.580589
BROOKFIELD, NS = 45.253751 -63.279552
BROOKLYN, NS = 44.057037 -64.687024
BROOKS, AB = 50.565975 -111.899167
BROOKSBY, SK = 52.998547 -104.325503
BROOKSIDE, NS = 44.553906 -63.724069
BROOKSIDE., NS = 44.553906 -63.724069
BROOKVILLE, NB = 46.338507 -67.760010
BROSSARD, QC = 45.451436 -73.461910
BROSSEAU, AB = 53.791111 -111.688224
BROUGHAM, ON = 45.393021 -75.753171
BROUGHTON, NS = 46.082467 -59.967474
BROWNFIELD, AB = 52.317686 -111.433414
BROWNLEE, SK = 50.735143 -106.022458
BROWNS FLAT, NB = 45.469622 -66.125490
BROWNS YARD, NB = 46.520783 -65.073159
BROWNSBURG-CHATHAM, QC = 45.676447 -74.404499
BROWNSDALE, NL = 48.032833 -53.123336
BROWNSVILLE, ON = 39.473222 -121.269128
BROWNVALE, AB = 56.123646 -117.890802
BRUCE MINES, ON = 46.300273 -83.793474
BRUCE, AB = 53.173266 -112.033484
BRUCEFIELD, ON = 43.525455 -81.518695
BRUDERHEIM, AB = 53.803499 -112.926586
BRULE, AB = 53.308742 -117.870964
BRUNKILD, MB = 49.592179 -97.574629
BRUNNER, ON = 43.692361 -79.617141
BRUNO, SK = 52.263984 -105.525301
BRUNSWICK MINES, NB = 39.211283 -121.017725
BRUSSELS, ON = 43.744428 -81.249831
BRUXELLES, MB = 49.487530 -98.918455
BRYENTON, NB = 46.870276 -65.683437
BRYSON, QC = 45.678566 -76.621349
BUBARTOWN, NB = 46.341596 -67.465853
BUCHANAN, SK = 51.703936 -102.755976
BUCHANS JUNCTION, NL = 48.846931 -56.473614
BUCHANS, NL = 48.825080 -56.855308
BUCK CREEK, AB = 53.106456 -114.896862
BUCK LAKE, AB = 52.952623 -114.795403
BUCKFIELD, NS = 44.308904 -64.789930
BUCKHORN, ON = 34.400238 -118.816521
BUCKLAND, QC = 46.618217 -70.546988
BUENA VISTA, SK = 50.781040 -104.939152
BUFFALO CREEK, BC = 51.733333 -121.150000
BUFFALO HEAD PRAIRIE, AB = 58.065566 -116.349803
BUFFALO NARROWS, SK = 55.862840 -108.479460
BUFFALO POINT, MB = 49.012444 -95.239622
BUFFALO, AB = 50.809721 -110.700300
BUICK, BC = 49.112843 -122.670117
BULL LAKE, NB = 46.105065 -67.383831
BULLS CREEK, NB = 46.100000 -67.566667
BULYEA, SK = 50.985197 -104.864719
BUNYANS COVE, NL = 48.396362 -54.018943
BURDETT, AB = 49.833085 -111.521335
BURFORD, ON = 43.103279 -80.429138
BURGEO, NL = 47.613413 -57.610491
BURGESSVILLE, ON = 43.022015 -80.652114
BURGOYNES COVE, NL = 48.170285 -53.714635
BURIN BAY ARM, NL = 47.087070 -55.200698
BURIN, NL = 47.053167 -55.174074
BURKS FALLS, ON = 45.619883 -79.408748
BURLINGTON, NL = 49.751144 -56.021552
BURLINGTON, ON = 43.325520 -79.799032
BURNABY, BC = 49.248809 -122.980510
BURNS LAKE, BC = 54.233415 -125.763613
BURNSIDE, NL = 48.714819 -53.789433
BURNSTOWN, ON = 45.387762 -76.579013
BURNSVILLE, NB = 47.703723 -65.149852
BURNT CHURCH FIRST NATION, NB = 47.198934 -65.139012
BURNT CHURCH, NB = 47.198934 -65.139012
BURNT HILL, NB = 45.171227 -67.341553
BURNT ISLANDS BLP, NL = 47.597581 -58.884767
BURNT POINT BDV, NL = 47.959875 -53.036095
BURNT RIVER, ON = 44.678584 -78.699739
BURNTLAND BROOK, NB = 46.983333 -67.333333
BURPEE, NB = 45.939435 -66.311472
BURR, SK = 52.056275 -105.140992
BURRITTS RAPIDS, ON = 44.983365 -75.799148
BURSTALL, SK = 50.655320 -109.909003
BURTON, BC = 49.989551 -117.877234
BURTON, NB = 45.875186 -66.361137
BURTTS CORNER, NB = 46.060253 -66.880942
BURWASH LANDING, YT = 61.354167 -138.994444
BURY, QC = 45.510797 -71.442106
BUSBY, AB = 53.949036 -113.892749
BUSHELL PARK, SK = 50.339751 -105.555982
BYEMOOR, AB = 51.978086 -112.290583
BYNG INLET, ON = 45.768927 -80.554647
CABANO, QC = 47.674838 -68.880465
CABRI, SK = 50.619458 -108.460902
CACHE BAY, ON = 46.374258 -79.988533
CACHE CREEK, BC = 50.810810 -121.323324
CACOUNA, QC = 47.916426 -69.501040
CACTUS LAKE, SK = 52.114389 -109.812006
CADILLAC, QC = 46.830061 -71.275475
CADILLAC, SK = 49.727535 -107.743718
CADOGAN, AB = 52.317518 -110.446088
CADOMIN, AB = 53.032472 -117.326529
CADOTTE LAKE, AB = 56.469566 -116.377656
CAESAREA, ON = 44.158248 -78.832044
CAILS MILLS, NB = 46.485960 -65.148358
CAINS RIVER, NB = 46.709778 -65.803594
CAISSIE ROAD, NB = 47.276406 -65.128327
CAISTOR CENTRE, ON = 43.070611 -79.651803
CAITHNESS, NB = 45.116967 -66.849663
CALABOGIE, ON = 45.299295 -76.721166
CALAHOO, AB = 53.715698 -113.958940
CALAIS, AB = 55.061626 -117.511491
CALDER, SK = 51.158120 -101.746970
CALDERS HEAD, NB = 44.975140 -67.011028
CALEDON EAST, ON = 43.836337 -79.874484
CALEDON VILLAGE, ON = 43.836337 -79.874484
CALEDON, ON = 43.836337 -79.874484
CALEDONIA MOUNTAIN, NB = 45.850000 -64.800000
CALEDONIA, NS = 44.375026 -65.031085
CALEDONIA, ON = 43.064753 -79.955075
CALGARY, AB = 51.048615 -114.070846
CALHOUN, NB = 46.064539 -64.585364
CALIFORNIA SETTLEMENT, NB = 46.850000 -67.766667
CALIXA-LAVALLEE, QC = 45.750624 -73.256047
CALLANDER, ON = 46.222198 -79.366393
CALLING LAKE, AB = 55.210335 -113.193325
CALMAR, AB = 53.265098 -113.805667
CALVERT, NL = 47.055348 -52.912029
CAMBRAY, ON = 44.409379 -78.831645
CAMBRIDGE BAY, NU = 69.116864 -105.059681
CAMBRIDGE, NS = 45.057347 -64.634652
CAMBRIDGE, ON = 43.361621 -80.314428
CAMBRIDGE-NARROWS, NB = 45.830068 -65.956286
CAMDEN EAST, ON = 44.335387 -76.833308
CAMDEN, NS = 45.284830 -63.130100
CAMERON, ON = 38.668793 -120.987164
CAMLACHIE, ON = 43.035712 -82.162315
CAMP CREEK, AB = 54.250024 -114.582979
CAMP MORTON, MB = 50.713732 -96.994565
CAMPBELL RIVER, BC = 50.033123 -125.273335
CAMPBELL SETTLEMENT YORK CO, NB = 46.010524 -67.346041
CAMPBELL SETTLEMENT, NB = 46.143516 -67.670020
CAMPBELL'S BAY, QC = 45.733737 -76.597248
CAMPBELLCROFT, ON = 44.063973 -78.374890
CAMPBELLFORD, ON = 44.308354 -77.797700
CAMPBELLTON, NB = 48.007399 -66.672206
CAMPBELLTON, NL = 49.282033 -54.934455
CAMPBELLVILLE, ON = 43.488137 -79.983806
CAMPDEN, ON = 43.135600 -79.431709
CAMPERDOWN, NS = 44.263780 -64.602113
CAMPERVILLE, MB = 51.987846 -100.147958
CAMROSE, AB = 53.022205 -112.828598
CANAAN FORKS, NB = 46.053823 -65.538229
CANAAN STATION, NB = 46.249378 -65.060402
CANAL FLATS, BC = 50.154785 -115.808063
CANAL, NB = 45.158415 -66.826904
CANDIAC, QC = 45.383934 -73.517445
CANDIAC, SK = 50.209146 -103.257624
CANDLE LAKE, SK = 53.751740 -105.249716
CANDO, SK = 52.373152 -108.213075
CANFIELD, ON = 34.050109 -118.390452
CANIM LAKE, BC = 51.774437 -120.930601
CANISTO, NB = 46.918285 -64.998187
CANMORE, AB = 51.089243 -115.359713
CANNIFTON, ON = 44.205476 -77.391836
CANNING, NS = 45.160431 -64.428218
CANNINGS COVE, NL = 48.444507 -53.845887
CANNINGTON, ON = 44.350216 -79.038664
CANOBIE, NB = 47.684425 -65.363242
CANOE NARROWS, SK = 55.167346 -108.155210
CANOE, BC = 50.750796 -119.227433
CANOOSE, NB = 45.372520 -67.357147
CANORA, SK = 51.633945 -102.437007
CANSO, NS = 45.336285 -60.994442
CANTERBURY, NB = 45.894459 -67.461209
CANTLEY, QC = 45.566176 -75.782459
CANTON BEDFORD, QC = 45.121111 -72.987447
CANTON DES BASQUES, NB = 47.505287 -64.926906
CANTON STANSTEAD, QC = 45.129140 -72.188717
CANTON TREMBLAY, QC = 48.452394 -71.018425
CANTON-DE-HATLEY, QC = 45.294880 -71.958454
CANWOOD, SK = 53.359024 -106.602090
CANYON CREEK, AB = 55.371739 -115.088260
CANYON, BC = 49.083615 -116.447773
CAP-AU-RENARD, QC = 49.195371 -66.234705
CAP-AUX-MEULES, QC = 47.377738 -61.871355
CAP-BATEAU, NB = 47.812132 -64.537753
CAP-CHAT, QC = 49.094066 -66.685739
CAP-CHAT-EST, QC = 49.106032 -66.657865
CAP-D'ESPOIR, QC = 48.428461 -64.328193
CAP-PELE, NB = 46.231764 -64.267770
CAP-SAINT-IGNACE, QC = 47.036375 -70.460380
CAP-SANTE, QC = 46.671590 -71.787847
CAPE BROYLE, NL = 47.096498 -52.950204
CAPE DAUPHIN, NS = 46.333333 -60.416667
CAPE DORSET, NU = 64.230375 -76.540963



// last 280 below

47.136013 -65.834268
50.670891 -100.902613
52.950000 -91.333333
46.617027 -65.964206
46.936300 -67.426145
50.182559 -108.202381
46.269929 -81.883761
52.961543 -87.298289
43.735176 -65.980349
45.700005 -71.461359
52.570642 -102.873843
53.448261 -105.240123
64.190371 -114.184102
45.971841 -66.590170
53.008155 -105.143690
42.992158 -79.248256
43.004923 -79.481912
43.532206 -80.765780
49.478777 -112.785344
46.453829 -63.999530
44.865022 -63.616475
43.780332 -80.543845
53.085974 -121.624418
50.040578 -99.333642
45.456044 -66.341622
44.886787 -66.949815
50.326767 -101.520255
55.152666 -119.147889
53.049214 -78.713873
47.902586 -73.786343
46.865246 -71.359042
45.572749 -75.127573
45.656452 -63.549107
45.800000 -74.366667
45.854657 -74.445472
44.483530 -64.627564
49.149432 -53.551344
45.518365 -61.081642
54.748320 -113.564103
48.603244 -58.957680
45.724454 -61.265204
45.702635 -61.161094
51.490316 -103.682123
46.544131 -64.950267
45.234639 -72.610533
44.416667 -64.733333
44.491658 -63.875221
46.442793 -67.613276
45.116667 -78.600000
45.116667 -63.583333
49.863612 -119.564458
42.603779 -81.606653
43.586796 -80.482375
44.441302 -64.578571
44.474723 -63.651237
44.687523 -63.312650
43.672782 -65.798129
45.339948 -65.555752
45.450000 -62.916667
45.645912 -64.844517
45.108433 -63.308165
51.592956 -56.707614
50.027735 -97.105364
49.328625 -123.160198
49.831365 -119.628193
50.130164 -98.582138
49.170418 -118.975194
34.181194 -118.448130
45.472421 -71.620757
45.618375 -63.664804
45.866667 -64.366667
47.883333 -53.083333
44.531403 -64.314502
52.957970 -113.999669
48.866749 -123.700599
54.152156 -113.851419
45.819764 -76.890234
46.143695 -60.223634
45.485719 -73.595699
46.283333 -67.766667
44.686359 -63.541416
49.785143 -56.636762
44.261741 -66.354737
44.677676 -76.399666
45.560601 -62.711180
50.472300 -119.773993
34.058653 -118.443135
52.969535 -113.377245
54.430212 -105.801312
49.663284 -103.853291
44.405769 -65.994040
62.242523 -92.601676
50.105079 -125.043559
63.143964 -117.269342
33.921101 -118.308657
46.018029 -65.163706
54.035117 -109.475706
54.763471 -113.549362
50.116320 -122.957356
47.418354 -53.532743
43.897545 -78.942933
50.875930 -108.221190
50.440133 -104.356697
53.452785 -104.088748
54.784450 -113.554715
44.630058 -66.710311
44.633333 -66.716667
45.302781 -76.523785
46.796678 -65.782120
48.593953 -85.274809
49.025309 -122.802962
51.867428 -106.689596
54.142404 -115.684981
39.322257 -123.116452
46.112608 -81.729835
46.377998 -81.316462
60.721187 -135.056845
56.107880 -118.078671
49.948792 -95.945791
47.680827 -67.269645
45.863196 -66.059517
44.533823 -63.755497
45.884170 -65.433156
49.821381 -95.481629
43.887356 -79.162038
47.686461 -53.484056
50.329875 -102.266628
46.965405 -65.726650
36.578499 -118.292260
45.975101 -61.121581
44.400000 -64.466667
44.741973 -81.140834
45.644954 -66.072480
45.761071 -72.497803
46.483333 -67.600000
55.362223 -115.030671
46.050499 -67.092742
45.803647 -81.721490
45.036788 -78.222647
50.097934 -104.722536
49.673997 -54.791112
53.609965 -115.235548
44.366667 -64.550000
42.728013 -82.364935
52.409363 -108.703677
52.558516 -55.766665
52.141674 -122.141688
46.335995 -66.780523
44.974927 -75.243716
44.377956 -80.871458
46.399730 -67.715169
46.926039 -65.708984
45.146672 -74.579565
44.521709 -63.641486
53.828723 -112.117985
44.311097 -79.421905
49.391729 -105.637532
45.336807 -65.813897
54.075643 -122.474036
51.205107 -102.799722
44.956411 -65.021310
46.363887 -67.715729
43.400058 -80.649889
45.512488 -77.559562
44.932912 -66.939586
42.995863 -80.317944
49.395067 -57.607907
51.865061 -113.594208
45.033372 -75.294227
33.706966 -117.084473
50.462525 -115.988646
45.166667 -79.550000
42.915791 -80.417688
44.789378 -63.642285
46.396674 -67.409283
44.990286 -64.131036
42.314937 -83.036363
45.569907 -72.006782
50.107018 -102.837084
52.963515 -114.412612
50.022124 -119.406251
43.887948 -81.311660
49.330060 -54.482097
49.180110 -97.938947
49.610414 -117.563463
50.506707 -96.975396
49.895136 -97.138374
51.649937 -99.926558
46.293863 -63.177608
50.524240 -128.028259
47.149149 -55.310096
47.954249 -53.330693
45.513212 -66.489740
51.310117 -107.651050
51.548220 -103.977154
47.282668 -52.832504
45.089098 -63.231379
45.373246 -70.864532
55.592325 -118.776114
44.175866 -76.398454
45.091760 -64.359835
46.328133 -72.423098
58.111111 -103.155556
50.424040 -103.276991
56.730259 -121.808989
49.370228 -106.383620
45.837050 -64.389007
43.776175 -79.609243
47.404834 -53.153021
43.309126 -81.328537
50.179955 -97.636756
46.178812 -66.766103
37.681441 -122.464285
45.371350 -66.232293
49.133680 -96.886289
49.281603 -96.148429
49.695269 -106.723957
50.181303 -98.777946
46.090960 -64.117364
46.109289 -67.577315
46.150266 -67.603395
49.965716 -55.882100
43.131497 -80.747165
43.315678 -79.871267
36.093564 -119.198998
44.157330 -77.700578
56.507923 -119.134100
33.809764 -118.124340
50.215414 -126.589391
53.842168 -112.455519
45.737819 -71.807095
49.523482 -112.172190
63.221472 -123.454781
43.864670 -81.149197
51.225887 -101.890795
46.020871 -66.034750
52.932377 -89.297990
44.695276 -79.884289
47.897614 -66.997390
44.653723 -79.926541
50.106108 -107.733901
49.180733 -116.555034
51.765230 -104.179200
42.948869 -82.118777
44.949813 -63.305570
49.086794 -116.088400
49.561062 -121.429172
46.283830 -72.830063
46.004936 -72.920385
46.005233 -72.906134
50.696411 -101.933005
44.371583 -76.770275
43.837458 -66.117382
52.749570 -105.248689
49.805721 -104.158545
50.458920 -104.618218
62.453972 -114.371789
49.284569 -117.218357
45.789585 -66.864209
49.060776 -58.379717
56.089130 -96.101153
43.988461 -79.470389
46.315980 -63.097506
43.988461 -79.470389
51.217448 -102.473933
48.866702 -124.200011
50.460767 -104.550728
45.950733 -65.938932
44.490345 -78.236007
51.528582 -111.205454
59.152347 -118.692777
46.053617 -66.935879
51.616117 -107.745143
49.981803 -126.845404
50.571791 -104.457503
53.064428 -103.758225
37.768085 -122.407350
49.284108 -96.510375
46.202841 -66.536576
37.182780 -118.259170
